Timestamp,Invoice Date,Seller,Total,Tax,Payment Method
2025-08-27T12:23:25.855Z,2025-06-27,A1 Telekom Austria AG,9.98,1.66,Bankeinzug
2025-08-27T12:23:26.250Z,2025-06-04,ZenLeads Inc. (dba Apollo.io),99.00,,
